Sale ID,Date,Brand,Product,Category,Region,Retailer,Units Sold,Unit Price (INR),Discount (%),Revenue (INR)
S0034,2026-04-01,Camlin,Sketch Pens 12pk,Art & Craft,West,Office Mart,129,75,0,9675
S0035,2026-04-14,Camlin,Oil Pastels 25pk,Art & Craft,East,Stationery Hub,73,90,2,6439
S0036,2026-04-25,Faber-Castell,Highlighters Pack,Office Supplies,South,Office Mart,56,150,5,7980
S0037,2026-01-20,Parker,Ball Pen Premium,Writing,West,BookNest,35,450,0,15750
S0038,2026-07-12,Classmate,Notebook 172pg,Paper Products,South,Campus Store,114,60,7,6361
S0039,2026-04-13,Parker,Ball Pen Premium,Writing,North,Campus Store,107,450,0,48150
S0040,2026-07-20,Doms,Sharpener Set,Office Supplies,West,Paper Plus,118,20,10,2124
S0041,2026-02-18,Parker,Ball Pen Premium,Writing,East,Campus Store,24,450,10,9720
S0042,2026-01-15,Classmate,Long Notebook,Paper Products,North,BookNest,132,85,10,10098
S0043,2026-05-11,Nataraj,HB Pencil Pack,Writing,North,Campus Store,27,30,10,729
S0044,2026-04-14,Camlin,Poster Colors,Art & Craft,North,BookNest,73,120,10,7884
S0045,2026-01-21,Classmate,Practical Notebook,Paper Products,West,BookNest,154,95,10,13167
S0046,2026-02-22,Luxor,Ball Pen Box,Writing,East,Campus Store,77,50,7,3580
S0047,2026-04-28,Nataraj,Sharpener Pack,Office Supplies,East,Stationery Hub,12,15,7,167
S0048,2026-05-18,Camlin,Oil Pastels 25pk,Art & Craft,South,BookNest,77,90,2,6791
S0049,2026-03-04,Luxor,Marker Set,Art & Craft,East,Paper Plus,50,130,7,6045
S0050,2026-07-26,Cello,Stapler,Office Supplies,Central,Stationery Hub,180,90,10,14580
S0051,2026-02-04,Cello,Ball Pen Pack,Writing,East,Stationery Hub,37,40,10,1332
S0052,2026-03-14,Nataraj,Sharpener Pack,Office Supplies,Central,Campus Store,193,15,5,2750
S0053,2026-05-10,Faber-Castell,Markers Set,Art & Craft,West,Paper Plus,23,280,0,6440
S0054,2026-01-12,Doms,Sharpener Set,Office Supplies,North,Paper Plus,43,20,5,817
S0055,2026-05-22,Nataraj,Color Pencils 24pk,Art & Craft,West,BookNest,12,180,0,2160
S0056,2026-05-20,Camlin,Poster Colors,Art & Craft,North,Paper Plus,159,120,10,17172
S0057,2026-02-02,Nataraj,Color Pencils 24pk,Art & Craft,North,Paper Plus,103,180,0,18540
S0058,2026-06-24,Luxor,Highlighter Pack,Office Supplies,South,Stationery Hub,100,80,10,7200
S0059,2026-07-11,Doms,Oil Pastels 12pk,Art & Craft,South,Campus Store,51,65,2,3249
S0060,2026-02-15,Doms,Pencil Box Set,Writing,East,Office Mart,181,45,2,7982
S0061,2026-07-21,Cello,Gel Pen Pack,Writing,North,Office Mart,19,60,7,1060
S0062,2026-07-29,Faber-Castell,Color Pencils Premium,Art & Craft,West,Paper Plus,88,350,2,30184
S0063,2026-06-18,Faber-Castell,Gel Pens Set,Writing,South,Office Mart,94,220,5,19646
S0064,2026-03-31,Camlin,Geometry Box,Office Supplies,Central,Office Mart,183,140,10,23058
S0065,2026-01-30,Luxor,Marker Set,Art & Craft,East,Campus Store,158,130,5,19513
S0066,2026-06-02,Classmate,Notebook 172pg,Paper Products,West,Paper Plus,196,60,5,11172
S0067,2026-05-11,Doms,Oil Pastels 12pk,Art & Craft,North,Office Mart,157,65,2,10001
S0068,2026-07-01,Cello,Ball Pen Pack,Writing,West,Stationery Hub,143,40,10,5148
S0069,2026-04-21,Faber-Castell,Markers Set,Art & Craft,North,Paper Plus,169,280,5,44954
S0070,2026-05-10,Camlin,Geometry Box,Office Supplies,East,Office Mart,93,140,7,12109
S0071,2026-02-02,Cello,Stapler,Office Supplies,South,Office Mart,180,90,7,15066
S0072,2026-05-26,Nataraj,Crayons Pack,Art & Craft,East,Office Mart,150,70,0,10500
S0073,2026-02-23,Cello,Glue Stick Pack,Office Supplies,West,BookNest,165,35,5,5486
S0074,2026-04-24,Parker,Roller Pen,Writing,South,BookNest,131,500,2,64190
S0075,2026-05-12,Camlin,Geometry Box,Office Supplies,Central,Paper Plus,33,140,2,4528
S0076,2026-07-26,Cello,Gel Pen Pack,Writing,South,Campus Store,16,60,0,960
S0077,2026-06-06,Faber-Castell,Sketch Set,Art & Craft,North,Office Mart,116,400,10,41760
S0078,2026-05-07,Faber-Castell,Sketch Set,Art & Craft,West,Campus Store,47,400,0,18800
S0079,2026-02-26,Camlin,Sketch Pens 12pk,Art & Craft,South,BookNest,128,75,0,9600
S0080,2026-04-27,Faber-Castell,Gel Pens Set,Writing,South,Office Mart,180,220,10,35640
S0081,2026-06-06,Luxor,Sketch Pens Pack,Art & Craft,Central,Office Mart,150,95,7,13252
S0082,2026-04-26,Nataraj,Color Pencils 24pk,Art & Craft,East,Campus Store,173,180,5,29583
S0083,2026-03-12,Parker,Ball Pen Premium,Writing,West,Stationery Hub,192,450,5,82080
S0084,2026-03-27,Faber-Castell,Markers Set,Art & Craft,East,BookNest,30,280,2,8232
S0085,2026-04-09,Nataraj,Eraser Pack,Office Supplies,South,Campus Store,26,20,7,484
S0086,2026-05-19,Doms,Sharpener Set,Office Supplies,West,Office Mart,25,20,2,490
S0087,2026-07-17,Doms,Water Color Pack,Art & Craft,Central,Stationery Hub,157,85,7,12411
S0088,2026-04-01,Parker,Fountain Pen,Writing,East,Office Mart,117,650,10,68445
S0089,2026-02-26,Faber-Castell,Sketch Set,Art & Craft,East,Office Mart,134,400,0,53600
S0090,2026-06-21,Doms,Sharpener Set,Office Supplies,West,Campus Store,129,20,2,2528
S0091,2026-06-01,Classmate,Diary,Paper Products,Central,Stationery Hub,31,150,7,4324
S0092,2026-02-16,Nataraj,Color Pencils 24pk,Art & Craft,North,Paper Plus,107,180,5,18297
S0093,2026-03-25,Faber-Castell,Sketch Set,Art & Craft,East,Office Mart,81,400,7,30132
S0094,2026-05-01,Cello,Ball Pen Pack,Writing,North,BookNest,23,40,5,874
S0095,2026-07-19,Faber-Castell,Gel Pens Set,Writing,North,Stationery Hub,73,220,2,15739
S0096,2026-02-09,Classmate,Practical Notebook,Paper Products,South,Campus Store,131,95,0,12445
S0097,2026-06-29,Faber-Castell,Sketch Set,Art & Craft,East,Paper Plus,52,400,10,18720
S0098,2026-03-21,Camlin,Poster Colors,Art & Craft,North,BookNest,16,120,5,1824
S0099,2026-07-03,Doms,Water Color Pack,Art & Craft,South,Stationery Hub,161,85,2,13411
S0100,2026-06-25,Camlin,Geometry Box,Office Supplies,Central,Stationery Hub,154,140,0,21560
